sample_set	sample_id	flow_cell	flow_cell_type	path
PD50521b_PD50521e	PD50521e	m64221e_220812_230038	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/01.sequel_iie/m64221e_220812_230038.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m64222e_220805_105329	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/01.sequel_iie/m64222e_220805_105329.ccs.filtered.fastq.gz
PD50521b_PD50521e	PD50521e	m64016e_220816_095555	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50521e/01.sequel_iie/m64016e_220816_095555.ccs.filtered.fastq.gz
PD50477f	PD50477f	m84047_241008_103735_s2	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50477f/02.revio/m84047_241008_103735_s2.ccs.filtered.fastq.gz
PD50477f	PD50477f	m84047_240927_152506_s4	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50477f/02.revio/m84047_240927_152506_s4.ccs.filtered.fastq.gz
PD50477f	PD50477f	m84093_241008_113314_s4	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50477f/02.revio/m84093_241008_113314_s4.ccs.filtered.fastq.gz
PD50477f	PD50477f	m84047_241008_100605_s1	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50477f/02.revio/m84047_241008_100605_s1.ccs.filtered.fastq.gz
PD50477f	PD50477f	m64178e_220829_002441	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50477f/01.sequel_iie/m64178e_220829_002441.ccs.filtered.fastq.gz
PD50477f	PD50477f	m64094e_220917_231317	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50477f/01.sequel_iie/m64094e_220917_231317.ccs.filtered.fastq.gz
PD50477f	PD50477f	m64230e_220906_003948	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50477f/01.sequel_iie/m64230e_220906_003948.ccs.filtered.fastq.gz
PD50508b_PD50508f	PD50508b	m84047_240927_145249_s3	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50508b/02.revio/m84047_240927_145249_s3.ccs.filtered.fastq.gz
PD50508b_PD50508f	PD50508b	m84047_240924_110304_s3	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50508b/02.revio/m84047_240924_110304_s3.ccs.filtered.fastq.gz
PD50508b_PD50508f	PD50508b	m64016e_220905_200242	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50508b/01.sequel_iie/m64016e_220905_200242.ccs.filtered.fastq.gz
PD50508b_PD50508f	PD50508b	m64178e_220826_023135	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50508b/01.sequel_iie/m64178e_220826_023135.ccs.filtered.fastq.gz
PD50523b	PD50523b	m84093_241009_101414_s1	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50523b/02.revio/m84093_241009_101414_s1.ccs.filtered.fastq.gz
PD50523b	PD50523b	m84098_240926_103217_s1	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50523b/02.revio/m84098_240926_103217_s1.ccs.filtered.fastq.gz
PD50523b	PD50523b	m84098_241009_111452_s3	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50523b/02.revio/m84098_241009_111452_s3.ccs.filtered.fastq.gz
PD50523b	PD50523b	m84098_241009_114708_s4	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50523b/02.revio/m84098_241009_114708_s4.ccs.filtered.fastq.gz
PD50523b	PD50523b	m84047_240928_151025_s3	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50523b/02.revio/m84047_240928_151025_s3.ccs.filtered.fastq.gz
PD50523b	PD50523b	m64229e_220911_015559	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50523b/01.sequel_iie/m64229e_220911_015559.ccs.filtered.fastq.gz
PD50523b	PD50523b	m64016e_220903_004635	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50523b/01.sequel_iie/m64016e_220903_004635.ccs.filtered.fastq.gz
PD50523b	PD50523b	m64125e_240809_132206	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50523b/01.sequel_iie/m64125e_240809_132206.ccs.filtered.fastq.gz
PD50523b	PD50523b	m64229e_220913_234845	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50523b/01.sequel_iie/m64229e_220913_234845.ccs.filtered.fastq.gz
PD50489e	PD50489e	m84047_240927_134858_s1	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50489e/02.revio/m84047_240927_134858_s1.ccs.filtered.fastq.gz
PD50489e	PD50489e	m84047_240927_142032_s2	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50489e/02.revio/m84047_240927_142032_s2.ccs.filtered.fastq.gz
PD50489e	PD50489e	m84047_240924_095830_s1	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50489e/02.revio/m84047_240924_095830_s1.ccs.filtered.fastq.gz
PD50489e	PD50489e	m64174e_220620_110709	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50489e/01.sequel_iie/m64174e_220620_110709.ccs.filtered.fastq.gz
PD50489e	PD50489e	m64094e_220715_151527	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50489e/01.sequel_iie/m64094e_220715_151527.ccs.filtered.fastq.gz
PD50489e	PD50489e	m64094e_220717_002414	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50489e/01.sequel_iie/m64094e_220717_002414.ccs.filtered.fastq.gz
PD50489e	PD50489e	m64178e_240720_182655	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50489e/01.sequel_iie/m64178e_240720_182655.ccs.filtered.fastq.gz
PD50519d	PD50519d	m84098_240926_110433_s2	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50519d/02.revio/m84098_240926_110433_s2.ccs.filtered.fastq.gz
PD50519d	PD50519d	m84047_240928_143808_s2	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50519d/02.revio/m84047_240928_143808_s2.ccs.filtered.fastq.gz
PD50519d	PD50519d	m84098_241009_104235_s2	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50519d/02.revio/m84098_241009_104235_s2.ccs.filtered.fastq.gz
PD50519d	PD50519d	m84098_241009_101018_s1	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50519d/02.revio/m84098_241009_101018_s1.ccs.filtered.fastq.gz
PD50519d	PD50519d	m64221e_220811_133409	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50519d/01.sequel_iie/m64221e_220811_133409.ccs.filtered.fastq.gz
PD50519d	PD50519d	m64222e_220804_013319	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50519d/01.sequel_iie/m64222e_220804_013319.ccs.filtered.fastq.gz
PD50519d	PD50519d	m64221e_220814_084225	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50519d/01.sequel_iie/m64221e_220814_084225.ccs.filtered.fastq.gz
PD46180c	PD46180c	m84047_241008_114208_s4	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD46180c/02.revio/m84047_241008_114208_s4.ccs.filtered.fastq.gz
PD46180c	PD46180c	m84047_240924_103047_s2	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD46180c/02.revio/m84047_240924_103047_s2.ccs.filtered.fastq.gz
PD46180c	PD46180c	m84047_241008_110952_s3	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD46180c/02.revio/m84047_241008_110952_s3.ccs.filtered.fastq.gz
PD46180c	PD46180c	m84047_240928_140551_s1	revio_unbinned	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD46180c/02.revio/m84047_240928_140551_s1.ccs.filtered.fastq.gz
PD46180c	PD46180c	m64178e_220824_153720	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD46180c/01.sequel_iie/m64178e_220824_153720.ccs.filtered.fastq.gz
PD46180c	PD46180c	m64016e_220904_102424	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD46180c/01.sequel_iie/m64016e_220904_102424.ccs.filtered.fastq.gz
PD46180c	PD46180c	m64094e_220916_121850	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD46180c/01.sequel_iie/m64094e_220916_121850.ccs.filtered.fastq.gz
PD50508b_PD50508f	PD50508f	m64178e_220827_132801	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50508f/01.sequel_iie/m64178e_220827_132801.ccs.filtered.fastq.gz
PD50508b_PD50508f	PD50508f	m64230e_220901_155033	sequel_ii	/lustre/scratch122/tol/projects/sperm/data/Rahbari/PD50508f/01.sequel_iie/m64230e_220901_155033.ccs.filtered.fastq.gz
